flaga;metoda;pewnosc;score;lp;ean;bloz;cennik_nazwa;netto_100;vat_cennik;wc_id;wc_sku;wc_nazwa;wc_status;brutto_wc;tax_class;vat_wc;netto_wc;roznica_zl;roznica_pct;brutto_oczek;delta_brutto;vat_zgodny
;EAN;PEWNE;1.0;25;5907636994107;9178139;CARBOSAL SYROP (CARBO ACTIV) O SMAKU COLI 100 ML;15.00;8%;25;5907636994107;CARBOsal syrop 100ml;publish;16.00;reduced-rate;8%;14.81;-0.19;-1.2%;16.20;-0.20;T
;EAN;PEWNE;1.0;50;5907636994985;3174181;KWAS HIALURONOWY x60 KAPS.;35.00;8%;2053;5907636994985;Kwas Hialuronowy x60 kaps.;publish;38.00;reduced-rate;8%;35.19;+0.19;+0.5%;37.80;+0.20;T
;NAZWA;NIEPEWNE;0.718;84;5903317643098;3671882;OLEK Z KONOPI 5% 10ml;85.00;8%;71;GV-124;Olej z konopii CBD 5% 10ml;publish;92.00;reduced-rate;8%;85.19;+0.19;+0.2%;91.80;+0.20;T
;NAZWA;NIEPEWNE;1.13;112;5907636994732;8904001;ZIELONY JĘCZMIEŃ X 60 KAPS.;22.40;8%;89;GV-82;Zielony Jęczmień 60 kapsułek;publish;24.00;reduced-rate;8%;22.22;-0.18;-0.8%;24.19;-0.19;T
;NAZWA;NIEPEWNE;0.891;19;5903317643272;7093895;BLIZNA MAŚĆ NA BLIZNY 20 ML;20.50;23%;107;GV-145;BLIZNA Maść na blizny 20ml;publish;25.00;standard;23%;20.33;-0.17;-0.9%;25.21;-0.21;T
;NAZWA;NIEPEWNE;0.919;49;5907636994299;4906222;KUDZU ROOT X 60 KAPS.;26.10;8%;63;GV-50;KUDZU 60 kapsułek;publish;28.00;reduced-rate;8%;25.93;-0.17;-0.7%;28.19;-0.19;T
;NAZWA;NIEPEWNE;0.941;100;5907636994138;3278641;ROKITNIK I ACEROLA x60 kaps.;23.90;8%;79;GV-104;Rokitnik i Acerola 60 kapsułek;publish;26.00;reduced-rate;8%;24.07;+0.17;+0.7%;25.81;+0.19;T
;EAN;PEWNE;1.0;6;5907636994121;8297501;APLEPLUS C, E – OCET JABŁKOWY + WIT. C x30 kaps.;12.20;8%;2040;5907636994121;Apleplus C,E – Ocet Jabłkowy x30 kaps.;publish;13.00;reduced-rate;8%;12.04;-0.16;-1.3%;13.18;-0.18;T
;EAN;PEWNE;1.0;26;5907636994572;8611211;CHROM FORTE X 30 KAPS.;15.90;8%;29;5907636994572;Chrom Forte;publish;17.00;reduced-rate;8%;15.74;-0.16;-1.0%;17.17;-0.17;T
;NAZWA;NIEPEWNE;0.478;20;5903317643012;3484021;CALCIUM NATURAL 60 KAPS;15.90;8%;23;GV-114;Calcium Natural 70 kapsułek;publish;17.00;reduced-rate;8%;15.74;-0.16;-1.0%;17.17;-0.17;T
