# plan_ean_STAGING — sekcja 1: DO_WERYFIKACJI (w tym wymuszone: sprzeczna gramatura/pojemność), potem AUTO, potem POMIŃ
sku;wc_id;wc_sku_obecny;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;score;runner_up;metoda;decyzja;powod_pominiecia;powod
GV-90;214;GV-90;Żel z Kasztanowcem, Miłorzębem i Babką Lancetowatą 200 ml;119;ŻEL Z KASZTAN. MIŁORZĘBEM I BABKĄ LANCET. 200 ML;5907636994480;0.879;0.744;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.744 vs 0.879
GV-64;173;GV-64;Maść z Żyworódki 130 ml;73;MAŚĆ Z ŻYWORÓDKI 130ML;5907636994657;0.839;0.739;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.739 vs 0.839
GV-67;185;GV-67;Panthenol Pianka 100 ml;88;PANTHENOL PIANKA 100ML;5907636994688;0.839;0.814;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.814 vs 0.839
GV-55;141;GV-55;Maść Borowinowa 130 ml;57;MAŚĆ BOROWINOWA 130ML;5907636994626;0.838;0.814;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.814 vs 0.838
GV-54;139;GV-54;Maść Arnikowa 130 ml;56;MAŚĆ ARNIKOWA 130ML;5907636994886;0.837;0.831;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.831 vs 0.837
GV-32;99;GV-32;ArtroŻel 100 ml;10;ARTRO ŻEL 100 ML;5907636994350;0.834;0.783;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.783 vs 0.834
GV-95;218;GV-95;Żel ze świetlikiem i kolagenem 20 ml;123;ŻEL ZE ŚWIETLIKIEM I KOLAGENEM POD OCZY 20ML;5907636994640;0.775;0.579;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.579 vs 0.775
GV-40;37;GV-40;Colacal - kolagen z wapniem 60 kapsułek;31;COLACAL X 60 KAPS.;8594011210012;0.770;0.824;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.824 vs 0.770
GV-143;67;GV-143;Olej CBD w Kapsułkach;79;OLEJ CBD W KAPSUŁKACH x60 KAPS.;5903317643203;0.760;0.636;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.636 vs 0.760
GV-109;157;GV-109;Maść Nagietkowa 130ml;64;MAŚĆ NAGIETKOWA;5907636994398;0.750;0.825;NAZWA;POMIŃ;AMBIGUOUS;AMBIGUOUS: konkurent 0.825 vs 0.750
